"","Sample","Subsample","Length","Width"
"590","BU_22_A045","BU_22_A045-7_A.jpg",0.567,0.212
"591","BU_22_A045","BU_22_A045-7_A.jpg",0.475,0.21
"592","BU_22_A045","BU_22_A045-7_A.jpg",0.575,0.238
"593","BU_22_A045","BU_22_A045-7_A.jpg",0.48,0.164
"594","BU_22_A045","BU_22_A045-7_A.jpg",0.533,0.077
"595","BU_22_A045","BU_22_A045-7_A.jpg",0.705,0.171
"596","BU_22_A045","BU_22_A045-7_A.jpg",0.546,0.239
"597","BU_22_A045","BU_22_A045-7_A.jpg",0.756,0.265
"598","BU_22_A045","BU_22_A045-7_A.jpg",0.677,0.126
"599","BU_22_A045","BU_22_A045-7_A.jpg",1.086,0.287
"600","BU_22_A045","BU_22_A045-7_A.jpg",0.571,0.201
"601","BU_22_A045","BU_22_A045-7_A.jpg",0.567,0.227
"602","BU_22_A045","BU_22_A045-7_A.jpg",0.742,0.164
"603","BU_22_A045","BU_22_A045-7_A.jpg",0.512,0.191
"604","BU_22_A045","BU_22_A045-7_B.jpg",0.527,0.198
"605","BU_22_A045","BU_22_A045-7_B.jpg",0.985,0.145
"606","BU_22_A045","BU_22_A045-7_B.jpg",1.287,0.333
"607","BU_22_A045","BU_22_A045-7_B.jpg",0.676,0.283
"608","BU_22_A045","BU_22_A045-7_B.jpg",0.843,0.133
"609","BU_22_A045","BU_22_A045-7_B.jpg",0.683,0.142
"610","BU_22_A045","BU_22_A045-7_B.jpg",0.548,0.157
"611","BU_22_A045","BU_22_A045-7_B.jpg",0.349,0.17
"612","BU_22_A045","BU_22_A045-7_B.jpg",0.38,0.172
"613","BU_22_A045","BU_22_A045-7_B.jpg",0.652,0.175
"614","BU_22_A045","BU_22_A045-7_B.jpg",0.513,0.293
"615","BU_22_A045","BU_22_A045-7_B.jpg",0.601,0.199
"616","BU_22_A045","BU_22_A045-7_B.jpg",0.518,0.198
"617","BU_22_A045","BU_22_A045-7_B.jpg",0.606,0.181
"618","BU_22_A045","BU_22_A045-7_B.jpg",0.527,0.216
"619","BU_22_A045","BU_22_A045-7_B.jpg",0.455,0.138
"620","BU_22_A045","BU_22_A045-7_C.jpg",1.437,0.312
"621","BU_22_A045","BU_22_A045-7_C.jpg",1.604,0.148
"622","BU_22_A045","BU_22_A045-7_C.jpg",1.138,0.305
"623","BU_22_A045","BU_22_A045-7_C.jpg",0.674,0.183
"624","BU_22_A045","BU_22_A045-7_C.jpg",0.552,0.22
"625","BU_22_A045","BU_22_A045-7_C.jpg",0.848,0.287
"626","BU_22_A045","BU_22_A045-7_C.jpg",1.059,0.238
"627","BU_22_A045","BU_22_A045-7_C.jpg",0.592,0.132
"628","BU_22_A045","BU_22_A045-7_C.jpg",0.591,0.135
"629","BU_22_A045","BU_22_A045-7_C.jpg",0.349,0.233
"630","BU_22_A045","BU_22_A045-7_C.jpg",0.469,0.271
"631","BU_22_A045","BU_22_A045-7_C.jpg",0.557,0.2
"632","BU_22_A045","BU_22_A045-7_C.jpg",0.577,0.216
"633","BU_22_A045","BU_22_A045-7_D.jpg",1.311,0.321
"634","BU_22_A045","BU_22_A045-7_D.jpg",0.765,0.248
"635","BU_22_A045","BU_22_A045-7_D.jpg",0.556,0.191
"636","BU_22_A045","BU_22_A045-7_D.jpg",0.822,0.204
"637","BU_22_A045","BU_22_A045-7_D.jpg",0.862,0.247
"638","BU_22_A045","BU_22_A045-7_D.jpg",0.772,0.266
"639","BU_22_A045","BU_22_A045-7_D.jpg",0.714,0.17
"640","BU_22_A045","BU_22_A045-7_D.jpg",0.685,0.275
"641","BU_22_A045","BU_22_A045-7_D.jpg",0.604,0.256
"642","BU_22_A045","BU_22_A045-7_D.jpg",0.533,0.159
"643","BU_22_A045","BU_22_A045-8_A.jpg",0.605,0.2
"644","BU_22_A045","BU_22_A045-8_A.jpg",0.457,0.115
"645","BU_22_A045","BU_22_A045-8_A.jpg",0.819,0.203
"646","BU_22_A045","BU_22_A045-8_A.jpg",0.567,0.156
"647","BU_22_A045","BU_22_A045-8_A.jpg",0.549,0.226
"648","BU_22_A045","BU_22_A045-8_A.jpg",0.883,0.232
"649","BU_22_A045","BU_22_A045-8_A.jpg",0.999,0.243
"650","BU_22_A045","BU_22_A045-8_A.jpg",1.055,0.232
"651","BU_22_A045","BU_22_A045-8_A.jpg",0.59,0.118
"652","BU_22_A045","BU_22_A045-8_A.jpg",0.48,0.117
"653","BU_22_A045","BU_22_A045-8_A.jpg",0.75,0.181
"654","BU_22_A045","BU_22_A045-8_A.jpg",0.585,0.131
"655","BU_22_A045","BU_22_A045-8_B.jpg",0.616,0.215
"656","BU_22_A045","BU_22_A045-8_B.jpg",0.764,0.163
"657","BU_22_A045","BU_22_A045-8_B.jpg",0.501,0.237
"658","BU_22_A045","BU_22_A045-8_B.jpg",0.644,0.223
"659","BU_22_A045","BU_22_A045-8_B.jpg",0.877,0.181
"660","BU_22_A045","BU_22_A045-8_B.jpg",0.636,0.201
"661","BU_22_A045","BU_22_A045-8_B.jpg",0.59,0.215
"662","BU_22_A045","BU_22_A045-8_B.jpg",0.669,0.251
"663","BU_22_A045","BU_22_A045-8_B.jpg",0.423,0.179
"664","BU_22_A045","BU_22_A045-8_B.jpg",0.648,0.221
"665","BU_22_A045","BU_22_A045-8_B.jpg",0.425,0.208
"666","BU_22_A045","BU_22_A045-8_B.jpg",0.431,0.113
"667","BU_22_A045","BU_22_A045-8_C.jpg",0.813,0.292
"668","BU_22_A045","BU_22_A045-8_C.jpg",0.559,0.271
"669","BU_22_A045","BU_22_A045-8_C.jpg",0.681,0.163
"670","BU_22_A045","BU_22_A045-8_C.jpg",0.564,0.159
"671","BU_22_A045","BU_22_A045-8_C.jpg",0.799,0.234
"672","BU_22_A045","BU_22_A045-8_C.jpg",0.986,0.226
"673","BU_22_A045","BU_22_A045-8_C.jpg",0.713,0.235
"674","BU_22_A045","BU_22_A045-8_C.jpg",0.453,0.189
"675","BU_22_A045","BU_22_A045-8_C.jpg",0.821,0.239
"676","BU_22_A045","BU_22_A045-8_C.jpg",0.539,0.239
"677","BU_22_A045","BU_22_A045-8_C.jpg",0.541,0.209
"678","BU_22_A045","BU_22_A045-8_C.jpg",0.428,0.274
"679","BU_22_A045","BU_22_A045-8_C.jpg",0.588,0.235
"680","BU_22_A045","BU_22_A045-8_D.jpg",1.089,0.262
"681","BU_22_A045","BU_22_A045-8_D.jpg",0.619,0.165
"682","BU_22_A045","BU_22_A045-8_D.jpg",1.2,0.188
"683","BU_22_A045","BU_22_A045-8_D.jpg",1.245,0.229
"684","BU_22_A045","BU_22_A045-8_D.jpg",0.711,0.209
"685","BU_22_A045","BU_22_A045-8_D.jpg",0.954,0.278
"686","BU_22_A045","BU_22_A045-8_D.jpg",0.562,0.119
"687","BU_22_A045","BU_22_A045-8_D.jpg",0.894,0.228
"688","BU_22_A045","BU_22_A045-8_D.jpg",0.592,0.166
"689","BU_22_A045","BU_22_A045-8_D.jpg",0.619,0.223
"690","BU_22_A045","BU_22_A045-8_D.jpg",0.513,0.139
"691","BU_22_A045","BU_22_A045-8_D.jpg",0.561,0.152
"692","BU_22_A045","BU_22_A045-9_A.jpg",0.699,0.178
"693","BU_22_A045","BU_22_A045-9_A.jpg",1.144,0.172
"694","BU_22_A045","BU_22_A045-9_A.jpg",1.257,0.229
"695","BU_22_A045","BU_22_A045-9_A.jpg",0.517,0.168
"696","BU_22_A045","BU_22_A045-9_A.jpg",0.853,0.126
"697","BU_22_A045","BU_22_A045-9_A.jpg",0.604,0.228
"698","BU_22_A045","BU_22_A045-9_A.jpg",0.503,0.196
"699","BU_22_A045","BU_22_A045-9_B.jpg",0.937,0.189
"700","BU_22_A045","BU_22_A045-9_B.jpg",0.867,0.214
"701","BU_22_A045","BU_22_A045-9_B.jpg",0.908,0.175
"702","BU_22_A045","BU_22_A045-9_B.jpg",1.139,0.384
"703","BU_22_A045","BU_22_A045-9_B.jpg",0.594,0.203
"704","BU_22_A045","BU_22_A045-9_B.jpg",0.835,0.196
"705","BU_22_A045","BU_22_A045-9_B.jpg",0.837,0.227
"706","BU_22_A045","BU_22_A045-9_B.jpg",0.544,0.157
"707","BU_22_A045","BU_22_A045-9_B.jpg",0.796,0.198
"708","BU_22_A045","BU_22_A045-9_B.jpg",0.615,0.238
"709","BU_22_A045","BU_22_A045-9_C.jpg",1.018,0.258
"710","BU_22_A045","BU_22_A045-9_C.jpg",0.832,0.201
"711","BU_22_A045","BU_22_A045-9_C.jpg",0.795,0.21
"712","BU_22_A045","BU_22_A045-9_C.jpg",0.677,0.175
"713","BU_22_A045","BU_22_A045-9_C.jpg",0.69,0.127
"714","BU_22_A045","BU_22_A045-9_C.jpg",0.948,0.161
"715","BU_22_A045","BU_22_A045-9_C.jpg",0.91,0.232
"716","BU_22_A045","BU_22_A045-9_C.jpg",0.756,0.214
"717","BU_22_A045","BU_22_A045-9_C.jpg",0.76,0.218
"718","BU_22_A045","BU_22_A045-9_C.jpg",0.578,0.194
"719","BU_22_A045","BU_22_A045-9_C.jpg",0.578,0.245
"720","BU_22_A045","BU_22_A045-9_C.jpg",0.598,0.178
"721","BU_22_A045","BU_22_A045-9_C.jpg",0.466,0.226
"722","BU_22_A045","BU_22_A045-9_C.jpg",0.322,0.232
"723","BU_22_A045","BU_22_A045-9_C.jpg",0.436,0.255
"724","BU_22_A045","BU_22_A045-9_D.jpg",1.149,0.241
"725","BU_22_A045","BU_22_A045-9_D.jpg",0.684,0.276
"726","BU_22_A045","BU_22_A045-9_D.jpg",0.751,0.256
"727","BU_22_A045","BU_22_A045-9_D.jpg",1.13,0.244
"728","BU_22_A045","BU_22_A045-9_D.jpg",1.088,0.311
"729","BU_22_A045","BU_22_A045-9_D.jpg",0.532,0.195
"730","BU_22_A045","BU_22_A045-9_D.jpg",0.972,0.284
"731","BU_22_A045","BU_22_A045-9_D.jpg",0.715,0.117
"732","BU_22_A045","BU_22_A045-9_D.jpg",0.803,0.145
"733","BU_22_A045","BU_22_A045-9_D.jpg",0.539,0.148
"734","BU_22_A045","BU_22_A045-9_D.jpg",0.471,0.144
"735","BU_22_A045","BU_22_A045-9_D.jpg",0.677,0.134
